Country,City,State,Postal Code,Region,DATE_VALID_STD,DOY_STD,MIN_TEMPERATURE_AIR_2M_F,AVG_TEMPERATURE_AIR_2M_F,MAX_TEMPERATURE_AIR_2M_F,MIN_TEMPERATURE_WETBULB_2M_F,AVG_TEMPERATURE_WETBULB_2M_F,MAX_TEMPERATURE_WETBULB_2M_F,MIN_TEMPERATURE_DEWPOINT_2M_F,AVG_TEMPERATURE_DEWPOINT_2M_F,MAX_TEMPERATURE_DEWPOINT_2M_F,MIN_TEMPERATURE_FEELSLIKE_2M_F,AVG_TEMPERATURE_FEELSLIKE_2M_F,MAX_TEMPERATURE_FEELSLIKE_2M_F,MIN_TEMPERATURE_WINDCHILL_2M_F,AVG_TEMPERATURE_WINDCHILL_2M_F,MAX_TEMPERATURE_WINDCHILL_2M_F,MIN_TEMPERATURE_HEATINDEX_2M_F,AVG_TEMPERATURE_HEATINDEX_2M_F,MAX_TEMPERATURE_HEATINDEX_2M_F,MIN_HUMIDITY_RELATIVE_2M_PCT,AVG_HUMIDITY_RELATIVE_2M_PCT,MAX_HUMIDITY_RELATIVE_2M_PCT,MIN_HUMIDITY_SPECIFIC_2M_GPKG,AVG_HUMIDITY_SPECIFIC_2M_GPKG,MAX_HUMIDITY_SPECIFIC_2M_GPKG,MIN_PRESSURE_2M_MB,AVG_PRESSURE_2M_MB,MAX_PRESSURE_2M_MB,MIN_PRESSURE_TENDENCY_2M_MB,AVG_PRESSURE_TENDENCY_2M_MB,MAX_PRESSURE_TENDENCY_2M_MB,MIN_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_PRESSURE_MEAN_SEA_LEVEL_MB,MAX_PRESSURE_MEAN_SEA_LEVEL_MB,MIN_WIND_SPEED_10M_MPH,AVG_WIND_SPEED_10M_MPH,MAX_WIND_SPEED_10M_MPH,AVG_WIND_DIRECTION_10M_DEG,MIN_WIND_SPEED_80M_MPH,AVG_WIND_SPEED_80M_MPH,MAX_WIND_SPEED_80M_MPH,AVG_WIND_DIRECTION_80M_DEG,MIN_WIND_SPEED_100M_MPH,AVG_WIND_SPEED_100M_MPH,MAX_WIND_SPEED_100M_MPH,AVG_WIND_DIRECTION_100M_DEG,TOT_PRECIPITATION_IN,TOT_SNOWFALL_IN,TOT_SNOWDEPTH_IN,MIN_CLOUD_COVER_TOT_PCT,AVG_CLOUD_COVER_TOT_PCT,MAX_CLOUD_COVER_TOT_PCT,MIN_RADIATION_SOLAR_TOTAL_WPM2,AVG_RADIATION_SOLAR_TOTAL_WPM2,MAX_RADIATION_SOLAR_TOTAL_WPM2,TOT_RADIATION_SOLAR_TOTAL_WPM2
United States,Henderson,Kentucky,42420,South,05-02-2022,36,64.5,68,72.2,59.2,61.6,63.8,54.6,57.5,59.7,64.5,68,72.2,64.5,68,72.2,64.5,68,72.2,60,69,78,9,10,10.8,1014.24,1015.79,1017.54,-0.4,0.1,0.8,1017.43,1018.97,1020.76,9.3,11.9,13.7,154,14.4,17.6,20.4,153,15.5,18.8,21.9,153,0.13,0,0,4,40,96,0,233.4,1034,5601.1
United States,Henderson,Kentucky,42420,South,14-03-2022,73,60,68.3,75,59.4,63.5,66,58.7,60.6,61.6,60,68.5,77,60,68.3,75,60,68.5,77,61,78,97,10.4,11.2,11.5,1017.51,1018.54,1019.46,-0.6,0,0.7,1020.66,1021.81,1022.72,1.1,5,8.7,149,0.7,7,11.5,146,0.7,7.4,12,145,0.03,0,0,0,6,41,0,271.8,891.4,6523.2
United States,Los Angeles,California,90036,West,09-02-2022,40,62.8,72.8,84.8,61.3,63.8,66.9,51.9,57.7,61.6,62.8,73,85.1,62.8,72.8,84.8,62.8,73,85.1,34,63,94,8.5,10.3,11.7,1005.84,1007.78,1009.48,-0.7,0,0.8,1009.25,1011.13,1012.68,2.4,4.8,7.7,11,3.4,7.7,11.1,2,3.7,8.1,11.5,3,0,0,0,0,17,78,0,345,1043.2,8280.9
United States,Fort Lauderdale,Florida,33311,South,16-02-2022,47,61.7,72.6,80.1,60.4,65.5,68.2,59.4,61.5,63.5,61.7,73.2,81.4,61.7,72.6,80.1,61.7,73.2,81.4,52,70,95,10.7,11.6,12.5,1009.98,1014.08,1017.76,-1.3,-0.3,0.3,1013.49,1017.37,1021.05,1.7,6.8,11.9,33,1.6,10.2,18.1,31,1.6,10.8,19.2,31,0,0,0,0,3,10,0,332,1009.4,7966.6
United States,Fort Lauderdale,Florida,33311,South,03-02-2022,34,64,66.4,71.5,59.4,61.8,63.9,54.7,58.9,61.6,64,66.4,71.5,64,66.4,71.5,64,66.4,71.5,63,77,88,9.1,10.7,11.7,1003.39,1005.35,1007.94,-0.6,0.1,0.8,1006.15,1008.28,1011.38,12.3,14.3,16.4,192,19.2,22.2,24.9,188,20,23.1,26,187,0.21,0,0,45,85,100,0,153.7,964.9,3689.2
United States,Los Angeles,California,90032,West,22-01-2022,22,65,69.5,75.2,62.9,64.5,66.3,59.8,61.6,64,65,69.8,77.1,65,69.5,75.2,65,69.8,77.1,59,77,90,10.9,11.6,12.5,1016.7,1019.21,1021.96,-0.7,-0.2,0.4,1020.19,1022.55,1025.23,3.6,6.5,9.4,150,6.1,9.5,12.7,150,6.6,10.2,13.3,149,0.02,0,0,2,47,99,0,274.6,1015.3,6590.5
United States,Los Angeles,California,90032,West,09-01-2022,9,69.1,72,75.8,67.5,69.7,71.3,66.6,68.6,70.4,69.1,72.3,79.3,69.1,72,75.8,69.1,72.3,79.3,80,89,96,13.9,14.8,15.7,1009.87,1012.34,1014.07,-0.7,0.1,0.8,1013.26,1015.66,1017.52,2.2,6.3,10,152,4.1,9.7,15.7,147,4.6,10.4,16.4,146,0.07,0,0,15,75,100,0,151.8,697.1,3643.5
United States,Los Angeles,California,90032,West,03-04-2022,93,56.9,65.5,75.4,54.7,57.7,61.9,46.9,51.4,54.8,56.1,65.3,76.4,56.1,65.3,75.4,56.9,65.5,76.4,42,63,91,6.9,8.1,9.1,1007.25,1008.78,1010.1,-0.8,0,0.6,1010.89,1012.36,1013.66,5.3,7.1,8.7,312,9.9,12.3,14.8,308,10.7,13.1,15.8,307,0,0,0,2,54,100,0,224.2,785.2,5380.5
United States,Los Angeles,California,90032,West,11-04-2022,101,62,69,79.3,60.8,64.7,67.6,59.8,62.3,65.3,62,69.4,80.7,62,69,79.3,62,69.4,80.7,53,81,96,10.9,11.9,13.1,1012.16,1014.28,1016.38,-0.7,0,1,1015.4,1017.38,1019.3,2.7,6.4,11.8,194,4.7,10.1,18,194,5.1,10.9,19.3,194,0.08,0,0,0,13,100,0,214.5,748.2,5147.7
United States,Los Angeles,California,90032,West,08-04-2022,98,64.8,67,71.1,62.7,64,66.3,60.8,62.4,65.2,64.8,67,71.1,64.8,67,71.1,64.8,67,71.1,71,86,95,11.2,11.9,13.1,1017.79,1018.89,1020.18,-0.6,0.1,0.5,1020.91,1022.05,1023.43,6.4,9.1,12.3,92,10.7,14.2,19.2,90,11.7,15.2,20.7,90,0.54,0,0,17,68,99,0,183.7,754,4408.9
United States,Los Angeles,California,90032,West,16-04-2022,106,58.7,64.7,73.4,57.5,60.2,63.1,54.6,57.2,59.9,58.7,64.7,73.4,58.7,64.7,73.4,58.7,64.7,73.4,52,78,96,9.1,9.9,10.9,1016.32,1017.21,1018.35,-0.8,0,0.7,1019.42,1020.43,1021.5,2.2,3.1,4.4,233,2.8,4.4,5.7,335,2.9,4.7,6,337,0,0,0,0,65,99,0,204.6,724.9,4910.6
United States,Los Angeles,California,90032,West,20-04-2022,110,60.1,65.4,73.7,54.4,58.6,62.6,49.5,53.6,59.1,59.6,65.3,73.7,59.6,65.3,73.7,60.1,65.4,73.7,50,67,86,7.5,8.8,10.6,1007.34,1011.59,1015.9,-0.4,0.4,1.1,1010.55,1014.94,1019.35,2.2,6.5,10.7,269,3.8,10.7,17.9,266,4.1,11.4,18.8,265,0,0,0,0,17,95,0,197.8,706.9,4746.6
United States,Concord,North Carolina,28027,South,03-05-2022,123,57.8,64.4,71.5,56.7,60.2,62.8,55,57.4,60.5,57.8,64.4,71.5,57.8,64.4,71.5,57.8,64.4,71.5,56,79,95,9.2,10,11.1,1014.5,1016.56,1018.74,-1.2,-0.2,0.5,1017.82,1019.83,1021.97,2.6,4.4,6.6,1,3.5,6.6,10.6,6,3.6,7.1,11.6,7,0,0,0,0,1,2,0,174.1,643.5,4179
United States,Seattle,Washington,98103,West,13-04-2022,103,59.4,62.6,64.9,58.1,60.2,62.3,56.9,58.7,61,59.4,62.6,64.9,59.4,62.6,64.9,59.4,62.6,64.9,81,87,94,9.7,10.4,11.3,1017.37,1019.42,1021.82,-0.4,0.2,0.7,1020.57,1022.63,1024.85,3.3,7,9.4,186,5.7,10.6,14.2,181,6.2,11.4,15.2,180,0.38,0,0,7,57,97,0,155.6,640.8,3734.9
United States,Fort Worth,Texas,76106,Central,04-05-2022,124,57,65.8,73.8,55.3,59.7,62.5,52.2,55.5,58.6,57,65.8,73.8,57,65.8,73.8,57,65.8,73.8,48,71,91,8.4,9.4,10.4,1009.53,1011.71,1014.1,-0.9,-0.2,0.4,1012.87,1015.08,1017.39,3.6,5.1,7,356,5.9,8.3,11.7,355,6.3,8.8,12.5,355,0,0,0,0,7,40,0,172.8,642.1,4146.9
